,Name,Module_Name_1,Efficiency,Inverter_Name_1,Inverter_Type_1,Inverter_Name_2,Inverter_Type_2,Size,Rating,Interaction,Technology,LeadInProjectTime,Warranty
10,Sungevity_Inc,TSM-250PD05.05,0.15273704789833822,PVI-3.0-OUTD-S-US-A_(240V),TechnologyInverterCentral,PVI-3.8-OUTD-S-US-A_(240V),TechnologyInverterCentral,1086,4.0,Independent,Standard,1.4984584546507802,15.0
11,SolarMax_Renewable_Energy_Provider__Inc,Q.PRO_BFR_G4_260,0.15568862275449102,M215-60-2LL-S2X-IG,TechnologyInverterMicro,SE_7600A-US_(240V),TechnologyInverterCentral,932,4.0,Moderate,Standard,6.932996822590163,15.0
12,Solar_Service_Center,TSM-250PA05.05,0.15273704789833822,M215-60-2LL-S2X-IG,TechnologyInverterMicro,M215-60-2LL-S2X,TechnologyInverterMicro,845,4.0,Moderate,Standard,8.965535029305311,15.0
13,Renova_Energy_Corp,SPR-E20-327,0.2005256593124239,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,SB7700TL-US-22-240V,TechnologyInverterCentral,570,4.0,Moderate,CuttingEdge,9.46141683770118,15.0
14,Grid_Alternatives,SE-F265KzD-3y,0.16144557760963066,M215-60-2LL-S2X-IG,TechnologyInverterMicro,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,562,4.0,Moderate,Standard,4.391186642484648,15.0
15,American_Solar_Direct_Inc,SE-F270KzD-3y,0.18276857842599703,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE6000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,542,5.0,Moderate,Standard,1.7308491599423883,25.0
16,Zero_Energy_Associates,SW250_Poly,0.149104626716567,M215-60-2LL-S2X-IG,TechnologyInverterMicro,PVI-3.0-OUTD-S-US-Z-A_(240V),TechnologyInverterCentral,495,4.0,Moderate,Traditional,5.0014729068638015,15.0
17,Semper_Solaris_Construction_Inc,SPR-X21-345,0.2115637689993463,SB3800TL-US-22_(240V),TechnologyInverterCentral,SB5000TL-US-22_(240V),TechnologyInverterCentral,444,4.0,Moderate,CuttingEdge,5.894865114840435,15.0
18,Smart_Energy_USA,SPR-327NE-WHT-D,0.2005256593124239,PVI-3.8-OUTD-S-US-A_(240V),TechnologyInverterCentral,PVI-5000-OUTD-US-A_(240V),TechnologyInverterCentral,436,4.0,Moderate,CuttingEdge,5.196643346401393,15.0
19,SouthWest_Sun_Solar,HiS-S280RG,0.17107385502712744,Fronius_Primo_3.8-1_@_240_VAC,TechnologyInverterCentral,Fronius_Primo_5.0-1_@_240_VAC,TechnologyInverterCentral,390,4.0,Moderate,Standard,5.169689050811613,15.0
20,Enver_Energy,SW_280_Mono_Black,0.16699718192255505,M215-60-2LL-S2X,TechnologyInverterMicro,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,325,4.0,Moderate,Standard,3.3210782570156487,15.0
21,LA_Solar_Group,LG305N1C-B3,0.18597560975609756,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,SE_7600A-US_(240V),TechnologyInverterCentral,323,4.0,Moderate,CuttingEdge,3.490466633040604,15.0
22,Precis_Solar,SPR-E20-327,0.2005256593124239,SB5000TL-US-22_(240V),TechnologyInverterCentral,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,321,5.0,Moderate,CuttingEdge,4.39784889347194,25.0
23,A1_Solar_Power_Inc,SW_280_Mono,0.16699718192255505,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,Solis-3.6K-2G-US_(240V),TechnologyInverterCentral,278,4.0,Moderate,Standard,3.132065999883613,15.0
24,Sullivan_Solar_Power,SPR-327NE-WHT-D,0.2005256593124239,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,SB7000TL-US-22-240V_(240V),TechnologyInverterCentral,273,4.0,Moderate,CuttingEdge,5.1041379108667435,15.0
25,Future_Energy_Corporation,SW_280_Mono_Black,0.16699718192255505,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,M215-60-2LL-S2X,TechnologyInverterMicro,256,4.0,Moderate,Standard,8.346332586997647,15.0
26,Galkos_Construction,LG280S1C-B3,0.17073170731707318,M215-60-2LL-S2X-IG,TechnologyInverterMicro,M215-60-2LL-S2X,TechnologyInverterMicro,252,4.0,Moderate,Standard,7.8085133490840715,15.0
27,SunTime_Energy,SPR-327NE-WHT-D,0.2005256593124239,SB3800TL-US-22_(240V),TechnologyInverterCentral,SB5000TL-US-22_(240V),TechnologyInverterCentral,232,4.0,Moderate,CuttingEdge,7.765218158409946,15.0
28,Solar_Universe,Q.PRO_BFR_-_G3_265,0.15868263473053892,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,M215-60-2LL-S2X-IG,TechnologyInverterMicro,226,4.0,Moderate,Standard,8.82369599457836,15.0
29,Vision_Solar,SLA260P,0.15916743189470461,M215-60-2LL-S2X-IG,TechnologyInverterMicro,M215-60-2LL-S2X,TechnologyInverterMicro,218,4.0,Moderate,Standard,2.2876678391966223,15.0
30,Complete_Solar,SE-F270KzD-3y,0.18276857842599703,M215-60-2LL-S2X-IG,TechnologyInverterMicro,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,209,4.0,Moderate,Standard,5.245833482271079,15.0
31,Elite_Electric_Inc,SPR-E20-327,0.2005256593124239,SB5000TL-US-22_(240V),TechnologyInverterCentral,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,207,4.0,Moderate,CuttingEdge,5.9887398886886585,15.0
32,Energy_Remodeling,SW_260_Poly,0.15684798293493946,Fronius_Primo_3.8-1_@_240_VAC,TechnologyInverterCentral,M215-60-2LL-S2X-IG,TechnologyInverterMicro,203,4.0,Moderate,Standard,3.877424256051945,15.0
33,Green_Convergence,SPR-E20-327,0.2005256593124239,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,SB5000TL-US-22_(240V),TechnologyInverterCentral,180,5.0,Moderate,CuttingEdge,8.698227297285468,25.0
34,Peak_Power_Solutions__Inc.,TSM-260PA05A,0.15884652981427175,M215-60-2LL-S2X-IG,TechnologyInverterMicro,Fronius_Primo_3.8-1_@_240_VAC,TechnologyInverterCentral,176,4.0,Moderate,Standard,7.460097875517728,15.0
35,Hot_Purple_Energy,SPR-327NE-WHT-D,0.2005256593124239,SB7700TL-US-22-240V,TechnologyInverterCentral,PVI-6000-OUTD-US_(240V),TechnologyInverterCentral,172,4.0,Moderate,CuttingEdge,3.006200888917303,15.0
36,California_Solar_Systems,CS6P-260P,0.17567377649971352,M215-60-2LL-S2X-IG,TechnologyInverterMicro,M215-60-2LL-S2X,TechnologyInverterMicro,166,4.0,Moderate,Standard,5.47945459992049,15.0
37,Heliopower,HiS-S270RG,0.1649640744904443,SE_7600A-US_(240V),TechnologyInverterCentral,SE6000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,154,4.0,Moderate,Standard,3.6441631024192724,15.0
38,Planet_Solar_Inc,UP-M265M-B,0.16288847364280096,YC500A_(240V),TechnologyInverterMicro,M215-60-2LL-S2X,TechnologyInverterMicro,146,4.0,Moderate,Standard,7.5240998581267995,15.0
39,Sunpro_Solar,SPR-327NE-WHT-D,0.2005256593124239,PVI-6000-OUTD-US-A_(240V),TechnologyInverterCentral,PVI-5000-OUTD-US-A_(240V),TechnologyInverterCentral,145,4.0,Moderate,CuttingEdge,5.604285523821163,15.0
40,So-Cal_Solar_Inc,Q.PRO-G3_260,0.15568862275449102,SB5000TL-US-22_(240V),TechnologyInverterCentral,SB4000TL-US-22_(240V),TechnologyInverterCentral,144,5.0,Moderate,Standard,8.64000867809014,25.0
41,Freedom_Solar,HiS-S260RG(BK),0.15885429395376116,M215-60-2LL-S2X,TechnologyInverterMicro,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,144,4.0,Moderate,Standard,4.0033231120444155,15.0
42,Direct_Energy_Solar,KD265GX-LFB2,0.16105702026279645,M215-60-2LL-S2X,TechnologyInverterMicro,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,139,4.0,Moderate,Standard,4.998493046222284,15.0
43,Brite_Energy,SE-F270KzD-3y,0.18276857842599703,M215-60-2LL-S2X-IG,TechnologyInverterMicro,SE5000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,122,4.0,Moderate,Standard,5.450594237727949,15.0
44,SunTime_Energy_Builders,SPR-327NE-WHT-D,0.2005256593124239,SB5000TL-US-22_(240V),TechnologyInverterCentral,SB3800TL-US-22_(240V),TechnologyInverterCentral,121,4.0,Moderate,CuttingEdge,4.606424236530405,15.0
45,Solar-360_Building_Services_Inc.,SW_285_Mono,0.1699792744568864,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,SE_7600A-US_(240V),TechnologyInverterCentral,115,4.0,Moderate,Standard,6.8916961124436025,15.0
46,R_E_Pierro_Construction,STL-140,0.13053613053613053,SE3000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,110,4.0,Moderate,Traditional,5.2627771612526395,15.0
47,Southwest_Sun_Solar,LG280S1C-B3,0.17073170731707318,PVI-3.0-OUTD-S-US-A_(240V),TechnologyInverterCentral,PVI-4.2-OUTD-S-US_(240_V),TechnologyInverterCentral,109,4.0,Moderate,Standard,5.8291297186576445,15.0
48,ADR_Electric_Inc,SPR-327NE-WHT-D,0.2005256593124239,SB5000TL-US-22_(240V),TechnologyInverterCentral,SB3800TL-US-22_(240V),TechnologyInverterCentral,109,3.0,Moderate,CuttingEdge,7.4053763092190446,5.0
49,Evolution_Energy,SW260_Mono,0.1550688117852297,PVI-5000-OUTD-US_(240V),TechnologyInverterCentral,PVI-6000-OUTD-US_(240V),TechnologyInverterCentral,109,4.0,Moderate,Standard,7.435239912078215,15.0
50,Ground_Up_Builders,SW_285_Mono,0.1699792744568864,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,M215-60-2LL-S2X-IG,TechnologyInverterMicro,109,4.0,Moderate,Standard,4.606127926828513,15.0
51,Advanced_Improvements_Inc,LG315N1C-G4,0.19207317073170732,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,M215-60-2LL-S2X-IG,TechnologyInverterMicro,108,4.0,Moderate,CuttingEdge,6.130165531449291,15.0
52,Sungevity,TSM-250PD05.05,0.15273704789833822,PVI-3.8-OUTD-S-US-A_(240V),TechnologyInverterCentral,PVI-3.0-OUTD-S-US-A_(240V),TechnologyInverterCentral,107,4.0,Moderate,Standard,8.641974079049797,15.0
53,Pell_Solar_Inc,SPR-E20-327,0.2005256593124239,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,SB7700TL-US-22-240V,TechnologyInverterCentral,107,4.0,Moderate,CuttingEdge,8.848712561317381,15.0
54,V3_Electric,SE-F270KzD-3y,0.18276857842599703,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE_7600A-US_(240V),TechnologyInverterCentral,106,4.0,Moderate,Standard,3.3501224213238334,15.0
55,Nexus_Energy_Systems,HiS-M255RG,0.1557994036854196,M215-60-2LL-S2X-IG,TechnologyInverterMicro,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,105,4.0,Moderate,Standard,6.479192754993685,15.0
56,360_Solar_Energy_Inc,SPR-327NE-WHT-D,0.2005256593124239,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,103,4.0,Moderate,CuttingEdge,7.141758728312343,15.0
57,Urban_Energy_Solar,SPR-E20-327,0.2005256593124239,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,SB3800TL-US-22_(240V),TechnologyInverterCentral,101,3.0,Moderate,CuttingEdge,5.485800816938925,5.0
58,Restart_Solar,SPR-E20-327,0.2005256593124239,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,SB5000TL-US-22_(240V),TechnologyInverterCentral,98,4.0,Collaborative,CuttingEdge,16.4961927594176,15.0
59,Baker_Electric_Solar,LG315N1C-G4,0.19207317073170732,SE_7600A-US_(240V),TechnologyInverterCentral,SE6000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,97,4.0,Collaborative,CuttingEdge,13.946784973077285,15.0
60,New_Day_Solar,KU265-6MCA,0.16105702026279645,SB3800TL-US-22_(240V),TechnologyInverterCentral,SB5000TL-US-22_(240V),TechnologyInverterCentral,97,4.0,Collaborative,Standard,14.264158981640339,15.0
61,Clean_Energy_Solutions,HiS-M250MG,0.15460395105857325,Fronius_Primo_3.8-1_@_240_VAC,TechnologyInverterCentral,PVI-3.0-OUTD-S-US-A_(240V),TechnologyInverterCentral,95,4.0,Collaborative,Standard,9.194180970972749,15.0
62,LA_Power_Center_Corp.,SE-F270KzD-4y,0.16449172058339728,M215-60-2LL-S2X,TechnologyInverterMicro,SE6000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,95,4.0,Collaborative,Standard,8.007684473582962,15.0
63,Sun_Solar_Energy_Solutions,SPR-327NE-WHT-D,0.2005256593124239,SB5000TL-US-22_(240V),TechnologyInverterCentral,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,95,5.0,Collaborative,CuttingEdge,9.433294910003832,25.0
64,SunStreet_Energy_Group/Lennar,PM250M01_265,0.16448011559538386,M215-60-2LL-S2X-IG,TechnologyInverterMicro,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,94,4.0,Collaborative,Standard,10.066838700427946,15.0
65,Self_Installer,SW_285_Mono,0.1699792744568864,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,SE_7600A-US_(240V),TechnologyInverterCentral,93,4.0,Collaborative,Standard,15.68686273066181,15.0
66,United_Field_Remodeling,SW260_Mono,0.1550688117852297,Galvo_3.1-1_208-240_(240V),TechnologyInverterCentral,Fronius_Primo_3.8-1_@_240_VAC,TechnologyInverterCentral,92,4.0,Collaborative,Standard,11.733088620916295,15.0
67,Bright_Life_Solar,LG280S1C-B3,0.17073170731707318,SE_7600A-US_(240V),TechnologyInverterCentral,PVI-3.0-OUTD-S-US-A_(240V),TechnologyInverterCentral,88,4.0,Collaborative,Standard,5.332837672473199,15.0
68,Bella_Electric,CS6P-255P,0.15853121759435404,SE7600_(240V),TechnologyInverterCentral,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,87,4.0,Collaborative,Standard,8.729341214825217,15.0
69,Titan_Solar_And_Remodeling,SW_280_Mono_Black,0.16699718192255505,M215-60-2LL-S2X-IG,TechnologyInverterMicro,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,84,4.0,Collaborative,Standard,14.009808770487567,15.0
70,Barnes_Solar__Inc.,SE-F270KzD-3y,0.18276857842599703,M215-60-2LL-S2X-IG,TechnologyInverterMicro,M215-60-2LL-S2X,TechnologyInverterMicro,83,4.0,Collaborative,Standard,11.927541921117044,15.0
71,GNRG_SOLAR,SE-F270KzC-2y,0.16429353778751368,SE3000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,83,5.0,Collaborative,Standard,11.250009596237758,25.0
72,California_Solar_Electric,SW_280_Mono_Black,0.16699718192255505,SB3800TL-US-22_(240V),TechnologyInverterCentral,SB3000TL-US-22_(240V),TechnologyInverterCentral,81,5.0,Collaborative,Standard,13.76357085141626,25.0
73,Sea_Bright_Solar_Inc.,SPR-327NE-WHT-D,0.2005256593124239,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,SB5000TL-US-22_(240V),TechnologyInverterCentral,80,4.0,Collaborative,CuttingEdge,9.30433121614417,15.0
74,Sun_Bees_Group_Inc,SPR-327NE-WHT-D,0.2005256593124239,SB3800TL-US-22_(240V),TechnologyInverterCentral,SB5000TL-US-22_(240V),TechnologyInverterCentral,79,4.0,Collaborative,CuttingEdge,8.759337376137172,15.0
75,NRG_Home_Solar,LG275S1C-B3,0.1676829268292683,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,M215-60-2LL-S2X-IG,TechnologyInverterMicro,78,4.0,Collaborative,Standard,8.505576789342168,15.0
76,SUNERGY_CONSTRUCTION_INC,SE-F270CzC-4y,0.16449172058339728,M215-60-2LL-S2X-IG,TechnologyInverterMicro,SE6000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,78,4.0,Collaborative,Standard,11.287633889981077,15.0
77,Solar_Solutions_4_U__Inc.,SPR-327NE-WHT-D,0.2005256593124239,PVI-6000-OUTD-US-A_(240V),TechnologyInverterCentral,SB7000TL-US-22-240V_(240V),TechnologyInverterCentral,78,4.0,Collaborative,CuttingEdge,21.711843251287828,15.0
78,Solar_Now,SNPM-GxB-300,0.1822190637584504,SB7700TL-US-22-240V,TechnologyInverterCentral,SB7000TL-US-22-240V_(240V),TechnologyInverterCentral,77,4.0,Collaborative,Standard,10.109875456121493,15.0
79,Solar_Vast,SPR-327NE-WHT-D,0.2005256593124239,PVI-5000-OUTD-US-A_(240V),TechnologyInverterCentral,SB7700TL-US-22-240V,TechnologyInverterCentral,72,4.0,Collaborative,CuttingEdge,9.880669093251438,15.0
80,Quantum_Solar_Design_Inc,Q.PEAK_BLK-G3_270,0.16167664670658682,M215-60-2LL-S2X-IG,TechnologyInverterMicro,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,71,3.0,Collaborative,Standard,10.128339469613055,5.0
81,Uptown_Solar,LLE-6M260,0.13211382113821138,SB5000TL-US-22_(240V),TechnologyInverterCentral,MICRO-0.25-I-OUTD-US-240,TechnologyInverterMicro,71,4.0,Collaborative,Traditional,10.615090860123527,15.0
82,IES_Residential_Inc,SPR-E20-327,0.2005256593124239,SB6000TL-US-22_(240V)_(240V),TechnologyInverterCentral,SB3800TL-US-22_(240V),TechnologyInverterCentral,70,4.0,Collaborative,CuttingEdge,11.737317901250803,15.0
83,Unleash_Solar,JC250M-24/Bx,0.15366837136113295,PVI-3.0-OUTD-S-US_(240_V),TechnologyInverterCentral,PVI-3.0-OUTD-S-US-A_(240V),TechnologyInverterCentral,69,4.0,Collaborative,Standard,8.773796413884831,15.0
84,Solaire_Energy_Systems,SPR-E20-327,0.2005256593124239,SB5000TL-US-22_(240V),TechnologyInverterCentral,SB7700TL-US-22-240V,TechnologyInverterCentral,69,5.0,Collaborative,CuttingEdge,16.57900176500393,25.0
85,Green_NRG,SW_285_Mono,0.1699792744568864,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,SB5000TL-US-22_(240V),TechnologyInverterCentral,68,4.0,Collaborative,Standard,12.549262962658437,15.0
86,Option_One_Corporation,SNPM-GxB-360,0.18562346280569866,SE_7600A-US_(240V),TechnologyInverterCentral,SE6000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,67,5.0,Collaborative,CuttingEdge,5.441811514538125,25.0
87,Green_Engineering_Solar_Corp._dba_GESC,CS6P-260P,0.17567377649971352,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE5000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,66,4.0,Collaborative,Standard,6.555879949554727,15.0
88,Revco_Solar_Engineering_Inc,LG300N1C-B3,0.18292682926829268,SE6000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE_10000A-US_(240V),TechnologyInverterCentral,66,4.0,Collaborative,Standard,11.412417578638987,15.0
89,GNRG_Solar,CS6X-310P,0.1575158430451166,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE5000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,66,4.0,Collaborative,Standard,16.87875242262848,15.0
90,Applied_Solar_Energy_Solutions,SW_285_Mono,0.1699792744568864,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,M215-60-2LL-S2X,TechnologyInverterMicro,65,4.0,Collaborative,Standard,14.804694486318173,15.0
91,NRG_Clean_Power,SW_285_Mono,0.1699792744568864,SE3000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,65,4.0,Collaborative,Standard,15.005373659440533,15.0
92,Titan_Solar_Construction,SW_280_Mono_Black,0.16699718192255505,SE5000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,64,4.0,Collaborative,Standard,7.28241896442267,15.0
93,Green_Hill_Remodeling,SW250_Poly,0.149104626716567,SE3000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,63,4.0,Collaborative,Traditional,4.077279625448038,15.0
94,TLP_Electric_Integrations_Inc._Infinity,SW_280_Mono_Black,0.16699718192255505,SE_7600A-US_(240V),TechnologyInverterCentral,SE5000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,58,4.0,Collaborative,Standard,11.487631475829952,15.0
95,WeGen_Solar_Inc,SPR-327NE-WHT-D,0.2005256593124239,SB3800TL-US-22_(240V),TechnologyInverterCentral,SB5000TL-US-22_(240V),TechnologyInverterCentral,58,4.0,Collaborative,CuttingEdge,10.769055777771873,15.0
96,Levi_Builders_Inc.,SW_285_Mono,0.1699792744568864,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE3000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,57,5.0,Collaborative,Standard,15.652815934987057,25.0
97,Natural_Energy_USA,SW_285_Mono,0.1699792744568864,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,M215-60-2LL-S2X,TechnologyInverterMicro,55,4.0,Collaborative,Standard,15.309967694940806,15.0
98,Electricare_Inc.,SPR-327NE-WHT-D,0.2005256593124239,SE6000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE_7600A-US_(240V),TechnologyInverterCentral,55,3.0,Collaborative,CuttingEdge,14.049038393646969,5.0
99,SunStreet_Energy_Group/Lennar_Homes,PM250M01_265,0.16448011559538386,M215-60-2LL-S2X-IG,TechnologyInverterMicro,None,none,54,4.0,Collaborative,Standard,9.46067396510931,15.0
