,Name,Module_Name_1,Efficiency,Inverter_Name_1,Inverter_Type_1,Inverter_Name_2,Inverter_Type_2,Size,Rating,Interaction,Technology,LeadInProjectTime,Warranty
0,SolarCity_Corporation,KU265-6ZPA,0.16105702026279645,PVI-3.0-OUTD-S-US-Z-A_(240V),TechnologyInverterCentral,PVI-3.6-OUTD-S-US-Z-A_(240V),TechnologyInverterCentral,16824,4.0,Independent,Standard,3.294854091170307,15.0
1,Vivint_Solar_Developer__LLC,YL255P-29b,0.15610651974288337,M215-60-2LL-S2X-IG,TechnologyInverterMicro,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,4112,4.0,Independent,Standard,3.5080376845384853,15.0
2,Sunrun_Installation_Services__Inc,REC275TP,0.16666515152892547,SE5000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE_7600A-US_(240V),TechnologyInverterCentral,3213,4.0,Independent,Standard,3.704740297074015,15.0
3,Verengo,Q.PRO_BFR_-_G3_260,0.15568862275449102,M215-60-2LL-S2X-IG,TechnologyInverterMicro,PVI-3.8-OUTD-S-US-A_(240V),TechnologyInverterCentral,2241,4.0,Independent,Standard,3.8261306253678624,15.0
4,Horizon_Solar_Power,CS6P-255P,0.15853121759435404,SE_7600A-US_(240V),TechnologyInverterCentral,SE6000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,2034,4.0,Independent,Standard,5.135452142213422,15.0
5,SunPower_Corporation,SPR-230NE-BLK-D,0.20837636758316028,PVI-3.0-OUTD-S-US-A_(240V),TechnologyInverterCentral,SB3000TL-US-22_(240V),TechnologyInverterCentral,1922,4.0,Independent,CuttingEdge,2.432161789115255,15.0
6,Lennar_Homes/Sunstreet_Energy,HiS-S265RG,0.16190918422210276,M215-60-2LL-S2X-IG,TechnologyInverterMicro,M215-60-SIE-S2X-ZC-NA,TechnologyInverterMicro,1582,4.0,Independent,Standard,3.735234381824395,15.0
7,Petersen_Dean_Roofing_&_Solar_Systems,SW_280_Mono_Black,0.16699718192255505,M250-60-2LL-S2X_(-ZC)_(-NA)_(240V),TechnologyInverterMicro,Galvo_1.5-1_208-240_(240V),TechnologyInverterCentral,1472,4.0,Independent,Standard,2.0300045490150094,15.0
8,Suncrest_Solar,Q.PRO_BFR_G4_260,0.15568862275449102,SE3800_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,SE5000_(240V)_w/_-ER-US_or_A-US,TechnologyInverterCentral,1316,5.0,Independent,Standard,3.694236129216205,25.0
9,Solcius,HSL60P6-PC-3-260W,0.15568862275449102,M215-60-2LL-S2X,TechnologyInverterMicro,M215-60-2LL-S2X-IG,TechnologyInverterMicro,1149,4.0,Independent,Standard,4.371332031740435,15.0
