,TOTSQFT_C,YEARMADERANGE,ROOFTYPE,TREESHAD,MONEYPY,KWH_C
2976,3,4,8,1,5,1.0
3026,3,4,8,1,8,0.0
4429,3,5,-2,0,5,3.0
525,3,5,-2,0,6,1.0
894,3,5,-2,0,8,2.0
4415,3,5,-2,0,10,0.0
4400,3,5,-2,0,14,1.0
5213,3,5,-2,0,15,2.0
8686,3,5,-2,0,15,3.0
3005,3,5,-2,0,16,3.0
9493,3,5,-2,0,24,3.0
10172,3,5,-2,1,6,2.0
8695,3,5,-2,1,13,1.0
1511,3,5,1,0,8,4.0
123,3,5,1,0,23,3.0
9370,3,5,1,1,14,3.0
6082,3,5,2,0,7,2.0
3004,3,5,2,0,8,9.0
11940,3,5,2,0,12,3.0
4915,3,5,2,0,13,4.0
8703,3,5,2,0,18,1.0
10019,3,5,2,1,8,2.0
1127,3,5,3,0,1,4.0
4461,3,5,3,0,1,4.0
4218,3,5,3,0,1,7.0
9592,3,5,3,0,3,1.0
4236,3,5,3,0,4,7.0
8755,3,5,3,0,5,3.0
10225,3,5,3,0,6,1.0
10783,3,5,3,0,6,2.0
11349,3,5,3,0,6,2.0
8319,3,5,3,0,6,3.0
245,3,5,3,0,6,4.0
1425,3,5,3,0,6,5.0
2802,3,5,3,0,6,5.0
5198,3,5,3,0,7,6.0
5939,3,5,3,0,7,8.0
1730,3,5,3,0,8,6.0
10216,3,5,3,0,9,4.0
227,3,5,3,0,9,5.0
6762,3,5,3,0,10,3.0
10660,3,5,3,0,12,6.0
5703,3,5,3,0,13,10.0
10792,3,5,3,1,1,7.0
5671,3,5,3,1,1,9.0
9497,3,5,3,1,3,2.0
8074,3,5,3,1,5,2.0
5866,3,5,3,1,5,3.0
884,3,5,3,1,5,4.0
10425,3,5,3,1,6,2.0
139,3,5,3,1,6,9.0
3660,3,5,3,1,7,2.0
9685,3,5,3,1,7,5.0
9289,3,5,3,1,7,7.0
8463,3,5,3,1,8,2.0
9354,3,5,3,1,8,5.0
10140,3,5,3,1,8,5.0
9192,3,5,3,1,8,7.0
9516,3,5,3,1,19,4.0
11812,3,5,4,0,12,2.0
2315,3,5,5,0,6,0.0
6105,3,5,5,0,6,6.0
11453,3,5,5,0,7,5.0
9744,3,5,5,0,8,4.0
8944,3,5,5,0,11,1.0
10439,3,5,5,0,11,1.0
673,3,5,5,0,12,10.0
8962,3,5,5,0,13,7.0
6088,3,5,5,0,14,5.0
8917,3,5,5,0,21,4.0
1583,3,5,5,1,6,2.0
4342,3,5,5,1,8,2.0
10270,3,5,5,1,9,7.0
3391,3,5,5,1,12,1.0
3119,3,5,5,1,12,2.0
5767,3,5,5,1,12,4.0
11513,3,5,5,1,16,5.0
11735,3,5,6,0,6,0.0
1731,3,5,6,0,12,2.0
2214,3,5,6,0,20,3.0
6933,3,5,6,1,8,1.0
7857,3,5,6,1,12,1.0
10124,3,5,6,1,12,4.0
1244,3,5,6,1,16,5.0
6139,3,5,7,0,12,4.0
7244,3,5,7,1,11,2.0
12024,3,6,-2,0,6,4.0
10308,3,6,-2,0,24,1.0
5153,3,6,-2,1,1,5.0
1455,3,6,-2,1,10,1.0
11148,3,6,-2,1,15,4.0
6677,3,6,-2,1,23,3.0
1826,3,6,2,0,8,3.0
11294,3,6,2,1,9,2.0
8385,3,6,2,1,10,7.0
8131,3,6,3,0,1,7.0
1996,3,6,3,0,4,3.0
9437,3,6,3,0,5,2.0
3887,3,6,3,0,5,3.0
9344,3,6,3,0,5,5.0
10451,3,6,3,0,5,6.0
5993,3,6,3,0,6,2.0
10488,3,6,3,0,8,1.0
2477,3,6,3,0,8,4.0
10414,3,6,3,0,9,7.0
2920,3,6,3,0,10,6.0
11175,3,6,3,0,13,5.0
4855,3,6,3,0,18,4.0
11032,3,6,3,1,6,3.0
5371,3,6,3,1,7,1.0
1326,3,6,3,1,7,3.0
5388,3,6,3,1,7,4.0
11897,3,6,3,1,7,5.0
315,3,6,3,1,8,0.0
8337,3,6,3,1,8,3.0
7903,3,6,3,1,8,4.0
5290,3,6,3,1,10,7.0
7733,3,6,5,0,9,2.0
3433,3,6,5,1,2,3.0
8692,3,6,5,1,6,3.0
7486,3,6,5,1,8,4.0
1571,3,6,5,1,22,2.0
9758,3,6,6,0,4,3.0
8890,3,6,6,0,4,6.0
10200,3,6,6,0,10,5.0
6100,3,6,6,1,7,2.0
2215,3,6,6,1,10,3.0
7993,3,7,-2,0,6,2.0
7593,3,7,-2,0,17,1.0
6430,3,7,-2,0,24,2.0
10540,3,7,-2,1,7,2.0
1994,3,7,1,0,16,2.0
7868,3,7,2,1,9,10.0
9803,3,7,5,0,19,9.0
7349,3,7,5,1,6,3.0
4121,3,7,6,0,8,3.0
6622,3,8,-2,0,11,1.0
7265,3,8,-2,0,24,0.0
10036,3,8,-2,1,24,2.0
11452,3,8,2,0,4,5.0
9456,3,8,3,1,3,2.0
10563,3,8,3,1,13,7.0
2039,3,8,3,1,15,2.0
11929,3,8,4,0,12,4.0
3827,3,8,5,0,7,0.0
4472,3,8,5,1,6,6.0
779,3,8,5,1,10,6.0
4620,3,8,5,1,12,5.0
2231,4,1,-2,0,8,0.0
12022,4,1,-2,0,10,2.0
10863,4,1,-2,0,10,3.0
3298,4,1,-2,0,11,0.0
9987,4,1,-2,0,24,2.0
4841,4,1,-2,0,24,3.0
3046,4,1,-2,1,2,1.0
6795,4,1,-2,1,23,2.0
776,4,1,2,0,10,6.0
2526,4,1,2,0,11,2.0
385,4,1,2,0,15,3.0
7170,4,1,2,0,24,1.0
4618,4,1,2,1,4,1.0
5722,4,1,2,1,4,3.0
2638,4,1,2,1,7,2.0
3718,4,1,2,1,12,5.0
10257,4,1,3,0,3,1.0
4648,4,1,3,0,6,0.0
10183,4,1,3,0,15,2.0
5749,4,1,3,1,15,4.0
7249,4,1,3,1,21,6.0
1999,4,1,5,0,4,10.0
3729,4,1,5,0,5,0.0
2034,4,1,5,0,5,2.0
10118,4,1,5,0,5,2.0
6877,4,1,5,0,5,3.0
640,4,1,5,0,5,8.0
5508,4,1,5,0,6,3.0
4965,4,1,5,0,7,1.0
9850,4,1,5,0,7,2.0
9924,4,1,5,0,7,4.0
5184,4,1,5,0,7,10.0
7537,4,1,5,0,8,1.0
5597,4,1,5,0,11,2.0
284,4,1,5,0,12,2.0
7676,4,1,5,0,12,2.0
4559,4,1,5,0,12,3.0
8091,4,1,5,0,12,4.0
2933,4,1,5,0,12,10.0
1899,4,1,5,0,16,2.0
12038,4,1,5,0,16,4.0
7355,4,1,5,0,17,4.0
6781,4,1,5,0,18,1.0
8936,4,1,5,0,20,2.0
11208,4,1,5,0,21,5.0
7990,4,1,5,0,22,1.0
11826,4,1,5,0,24,6.0
10474,4,1,5,1,4,0.0
6348,4,1,5,1,5,1.0
10548,4,1,5,1,5,1.0
905,4,1,5,1,5,3.0
6336,4,1,5,1,5,3.0
7298,4,1,5,1,5,3.0
11975,4,1,5,1,5,3.0
3831,4,1,5,1,5,4.0
5430,4,1,5,1,7,5.0
11446,4,1,5,1,8,0.0
3184,4,1,5,1,8,1.0
8366,4,1,5,1,8,3.0
10121,4,1,5,1,8,10.0
2365,4,1,5,1,9,1.0
4471,4,1,5,1,10,2.0
2977,4,1,5,1,11,5.0
8044,4,1,5,1,14,5.0
6910,4,1,5,1,16,3.0
5131,4,1,5,1,21,4.0
5883,4,1,5,1,24,1.0
10303,4,1,5,1,24,4.0
6964,4,1,6,0,5,1.0
2618,4,1,6,0,8,2.0
6068,4,1,6,0,10,4.0
1562,4,1,6,0,11,5.0
283,4,1,6,0,24,6.0
362,4,1,6,1,1,1.0
5073,4,1,6,1,5,2.0
7361,4,1,6,1,5,4.0
2868,4,1,6,1,6,2.0
6570,4,1,6,1,9,2.0
7605,4,1,6,1,9,6.0
9786,4,1,6,1,10,3.0
3967,4,1,6,1,11,2.0
3096,4,1,6,1,12,4.0
698,4,1,6,1,13,1.0
10237,4,1,6,1,13,1.0
6225,4,1,6,1,15,2.0
10161,4,1,6,1,15,7.0
994,4,1,6,1,20,4.0
11551,4,1,6,1,21,2.0
924,4,1,6,1,23,1.0
7564,4,2,-2,0,10,2.0
7293,4,2,1,1,3,1.0
4007,4,2,2,1,1,1.0
6543,4,2,2,1,10,2.0
8082,4,2,2,1,12,8.0
7602,4,2,2,1,18,2.0
6295,4,2,3,0,8,2.0
8927,4,2,3,0,11,6.0
5607,4,2,3,1,8,4.0
3796,4,2,4,0,7,1.0
4287,4,2,4,1,12,8.0
2002,4,2,4,1,21,2.0
8168,4,2,5,0,2,4.0
4470,4,2,5,0,4,3.0
2406,4,2,5,0,5,2.0
8059,4,2,5,0,5,4.0
4718,4,2,5,0,6,4.0
4040,4,2,5,0,8,3.0
1804,4,2,5,0,9,3.0
11889,4,2,5,0,10,4.0
1632,4,2,5,0,11,3.0
6095,4,2,5,0,12,7.0
1785,4,2,5,0,12,9.0
8906,4,2,5,0,14,2.0
5377,4,2,5,0,15,3.0
4703,4,2,5,0,15,4.0
149,4,2,5,0,19,1.0
5606,4,2,5,0,24,5.0
5700,4,2,5,1,1,4.0
8491,4,2,5,1,4,1.0
4225,4,2,5,1,5,2.0
4408,4,2,5,1,5,2.0
7158,4,2,5,1,5,4.0
198,4,2,5,1,6,4.0
7807,4,2,5,1,7,1.0
5638,4,2,5,1,7,3.0
7937,4,2,5,1,8,3.0
5495,4,2,5,1,9,3.0
9790,4,2,5,1,9,6.0
9483,4,2,5,1,10,2.0
9488,4,2,5,1,10,2.0
320,4,2,5,1,10,3.0
1503,4,2,5,1,10,6.0
2541,4,2,5,1,12,3.0
6983,4,2,5,1,14,1.0
3069,4,2,5,1,14,2.0
6759,4,2,5,1,14,2.0
5730,4,2,5,1,17,4.0
10753,4,2,5,1,19,2.0
3198,4,2,5,1,21,6.0
9658,4,2,5,1,22,2.0
6935,4,2,5,1,23,4.0
5621,4,2,5,1,24,2.0
8653,4,2,5,1,24,2.0
10177,4,2,5,1,24,2.0
6898,4,2,5,1,24,9.0
4285,4,2,6,0,8,6.0
2328,4,2,6,0,12,3.0
11875,4,2,6,0,13,0.0
9152,4,2,6,1,6,5.0
6190,4,2,6,1,8,7.0
5088,4,2,6,1,9,5.0
7574,4,2,6,1,10,1.0
8408,4,2,6,1,12,2.0
4498,4,2,6,1,12,4.0
11881,4,2,6,1,12,7.0
8029,4,2,6,1,16,2.0
6883,4,2,7,0,6,4.0
10727,4,2,7,1,18,1.0
11991,4,2,8,1,15,1.0
4072,4,3,-2,0,10,2.0
418,4,3,-2,0,12,2.0
5172,4,3,-2,0,15,2.0
2252,4,3,-2,1,6,6.0
5454,4,3,-2,1,16,2.0
3032,4,3,1,0,7,4.0
3169,4,3,2,0,9,10.0
710,4,3,2,0,12,5.0
11832,4,3,2,0,15,6.0
3098,4,3,3,0,22,8.0
3057,4,3,3,1,5,9.0
5061,4,3,5,0,4,3.0
477,4,3,5,0,5,3.0
4886,4,3,5,0,5,4.0
11525,4,3,5,0,8,2.0
8370,4,3,5,0,9,4.0
7800,4,3,5,0,9,5.0
9567,4,3,5,0,9,8.0
8358,4,3,5,0,11,3.0
10956,4,3,5,0,15,2.0
2313,4,3,5,0,19,4.0
11593,4,3,5,0,23,2.0
378,4,3,5,0,24,9.0
4337,4,3,5,1,4,0.0
8530,4,3,5,1,4,1.0
2786,4,3,5,1,4,3.0
457,4,3,5,1,7,1.0
10596,4,3,5,1,7,1.0
12018,4,3,5,1,7,2.0
9651,4,3,5,1,7,4.0
2090,4,3,5,1,8,2.0
618,4,3,5,1,9,2.0
8593,4,3,5,1,9,3.0
9153,4,3,5,1,10,1.0
8349,4,3,5,1,11,9.0
1533,4,3,5,1,12,2.0
3741,4,3,5,1,12,3.0
3159,4,3,5,1,12,5.0
7041,4,3,5,1,13,1.0
3227,4,3,6,0,3,2.0
6179,4,3,6,0,9,7.0
9643,4,3,6,0,24,2.0
348,4,3,6,1,3,1.0
2725,4,3,6,1,5,3.0
11760,4,3,6,1,5,3.0
5526,4,3,6,1,9,2.0
3749,4,3,6,1,10,3.0
5614,4,3,6,1,12,2.0
1013,4,3,6,1,12,4.0
2392,4,3,6,1,13,3.0
10219,4,3,6,1,21,4.0
6437,4,3,6,1,24,8.0
64,4,3,7,0,11,3.0
5242,4,4,-2,0,8,1.0
5885,4,4,-2,0,8,1.0
5236,4,4,-2,0,9,3.0
992,4,4,-2,0,15,1.0
7749,4,4,-2,0,15,1.0
11817,4,4,-2,0,16,1.0
6496,4,4,-2,0,17,1.0
1234,4,4,-2,1,5,1.0
6333,4,4,-2,1,10,1.0
9061,4,4,-2,1,12,1.0
11595,4,4,-2,1,12,1.0
4467,4,4,-2,1,20,1.0
7251,4,4,1,0,8,4.0
4173,4,4,2,0,7,7.0
10104,4,4,2,1,8,4.0
3597,4,4,2,1,11,8.0
7689,4,4,3,0,6,1.0
11134,4,4,3,0,6,2.0
3947,4,4,3,0,7,4.0
436,4,4,3,0,7,6.0
7460,4,4,3,0,7,6.0
4374,4,4,3,0,11,2.0
10612,4,4,3,0,11,8.0
9518,4,4,3,0,15,5.0
10532,4,4,3,0,16,3.0
5642,4,4,3,1,3,4.0
2756,4,4,3,1,4,5.0
1947,4,4,3,1,6,3.0
1753,4,4,3,1,6,4.0
825,4,4,3,1,6,6.0
10469,4,4,3,1,7,8.0
1956,4,4,3,1,8,5.0
4747,4,4,3,1,8,5.0
2391,4,4,3,1,9,4.0
9928,4,4,3,1,10,2.0
9965,4,4,3,1,10,6.0
1478,4,4,3,1,12,10.0
6556,4,4,3,1,14,5.0
7974,4,4,3,1,15,6.0
3340,4,4,3,1,16,3.0
