,TOTSQFT_C,YEARMADERANGE,ROOFTYPE,TREESHAD,MONEYPY,KWH_C
2221,0,3,3,0,5,2.0
9050,0,4,3,0,10,4.0
5471,0,4,3,1,5,0.0
12064,0,5,3,0,5,2.0
5934,0,6,3,1,7,2.0
5724,0,6,6,1,7,1.0
11672,1,1,-2,0,13,1.0
8170,1,2,2,1,6,5.0
7291,1,2,3,0,5,3.0
4894,1,2,3,1,6,1.0
6828,1,3,6,1,6,4.0
1891,1,4,2,0,12,1.0
778,1,4,3,0,1,1.0
28,1,4,3,0,2,0.0
9649,1,4,3,0,7,2.0
9083,1,4,3,0,7,3.0
12006,1,4,5,0,6,2.0
11604,1,4,5,0,7,1.0
2130,1,4,6,1,1,1.0
11276,1,5,3,1,5,5.0
3504,1,5,3,1,12,2.0
9380,1,6,-2,0,10,4.0
4361,1,6,3,0,9,2.0
603,1,7,-2,0,2,2.0
8045,1,7,-2,0,13,0.0
2385,1,7,5,0,7,1.0
527,1,8,3,0,2,2.0
3832,1,8,3,1,4,0.0
8793,1,8,8,1,12,1.0
7317,2,1,-2,0,8,1.0
4295,2,1,-2,0,13,1.0
4215,2,1,-2,1,15,0.0
10238,2,1,-2,1,15,1.0
6991,2,1,-2,1,24,1.0
11406,2,1,3,0,6,2.0
8864,2,1,5,0,1,3.0
7436,2,1,5,0,1,4.0
11592,2,1,5,0,7,0.0
9681,2,1,5,0,8,4.0
8282,2,1,5,1,5,0.0
2476,2,1,5,1,5,8.0
10204,2,1,5,1,9,3.0
10000,2,1,5,1,12,2.0
9540,2,1,6,0,7,2.0
6576,2,1,6,1,7,2.0
9564,2,1,6,1,7,2.0
5587,2,1,8,0,15,1.0
6566,2,2,-2,0,8,2.0
10644,2,2,-2,0,12,3.0
12005,2,2,-2,0,21,1.0
4220,2,2,3,0,8,2.0
1042,2,2,5,0,1,1.0
11709,2,2,5,0,4,0.0
10398,2,2,5,1,6,1.0
9897,2,2,5,1,11,2.0
2222,2,2,5,1,13,3.0
9301,2,2,5,1,24,1.0
3330,2,2,6,0,5,3.0
8228,2,2,6,1,4,1.0
3825,2,2,6,1,10,3.0
11093,2,3,-2,0,3,2.0
4281,2,3,-2,0,5,0.0
11798,2,3,-2,0,9,1.0
1738,2,3,-2,1,5,2.0
11584,2,3,1,1,10,1.0
6302,2,3,2,0,6,1.0
10341,2,3,2,1,4,2.0
10842,2,3,3,0,1,1.0
4995,2,3,3,0,2,1.0
2583,2,3,3,0,4,2.0
138,2,3,3,0,5,1.0
6951,2,3,3,0,5,6.0
4564,2,3,3,1,2,4.0
5558,2,3,3,1,5,1.0
10899,2,3,3,1,5,3.0
2911,2,3,3,1,6,1.0
1997,2,3,3,1,6,5.0
1103,2,3,5,1,8,1.0
7267,2,3,5,1,9,4.0
11127,2,3,5,1,10,10.0
11586,2,3,6,0,8,0.0
10050,2,3,6,1,6,2.0
10993,2,3,8,0,7,4.0
11790,2,4,-2,0,6,1.0
10517,2,4,-2,0,10,2.0
5029,2,4,-2,0,10,3.0
9524,2,4,-2,0,13,4.0
2448,2,4,-2,0,18,1.0
657,2,4,-2,1,8,1.0
8171,2,4,-2,1,8,1.0
9673,2,4,-2,1,14,0.0
4111,2,4,-2,1,19,1.0
10953,2,4,2,0,6,3.0
3641,2,4,2,0,8,1.0
6924,2,4,3,0,1,9.0
9519,2,4,3,0,2,4.0
7864,2,4,3,0,2,6.0
11077,2,4,3,0,5,5.0
5418,2,4,3,0,6,2.0
3475,2,4,3,0,6,9.0
5566,2,4,3,0,7,5.0
2989,2,4,3,0,8,4.0
5268,2,4,3,0,8,4.0
553,2,4,3,0,9,5.0
8078,2,4,3,0,20,5.0
10849,2,4,3,1,4,3.0
11019,2,4,3,1,5,2.0
10607,2,4,3,1,5,5.0
7383,2,4,3,1,7,2.0
12004,2,4,3,1,11,0.0
7921,2,4,3,1,12,3.0
272,2,4,3,1,17,5.0
9812,2,4,5,0,3,5.0
8538,2,4,5,0,4,0.0
3269,2,4,5,0,6,6.0
5051,2,4,5,0,7,1.0
7221,2,4,5,0,9,2.0
2635,2,4,5,0,14,1.0
8696,2,4,5,1,18,2.0
4424,2,4,6,0,6,4.0
3994,2,4,6,0,8,1.0
5320,2,4,6,1,1,2.0
5746,2,4,8,0,5,2.0
4812,2,4,8,1,9,4.0
2990,2,5,-2,0,1,2.0
8923,2,5,-2,0,5,2.0
3538,2,5,-2,0,7,1.0
5310,2,5,-2,0,10,1.0
3471,2,5,-2,0,10,4.0
4962,2,5,-2,0,15,3.0
7123,2,5,-2,0,21,0.0
1095,2,5,-2,1,11,2.0
3101,2,5,-2,1,13,1.0
5167,2,5,-2,1,19,2.0
5106,2,5,2,0,5,5.0
2106,2,5,2,1,8,7.0
1404,2,5,3,0,5,11.0
3587,2,5,3,0,8,2.0
2690,2,5,3,0,8,5.0
2890,2,5,3,0,8,8.0
3502,2,5,3,0,9,1.0
4444,2,5,3,1,1,0.0
637,2,5,3,1,6,1.0
3117,2,5,3,1,6,2.0
7316,2,5,4,1,6,1.0
7858,2,5,5,0,6,4.0
1243,2,5,5,0,17,0.0
2116,2,5,5,1,6,3.0
2881,2,5,5,1,9,1.0
2776,2,5,5,1,14,2.0
1335,2,6,-2,0,3,4.0
1381,2,6,-2,1,6,2.0
7028,2,6,-2,1,13,1.0
8306,2,6,2,0,5,2.0
11869,2,6,3,0,5,2.0
7978,2,6,3,0,8,3.0
3644,2,6,3,1,4,6.0
1002,2,6,3,1,5,2.0
3960,2,6,5,0,3,2.0
7100,2,6,5,1,5,2.0
11683,2,6,5,1,5,2.0
2604,2,6,5,1,11,8.0
10935,2,7,3,0,11,9.0
7328,2,7,3,1,5,1.0
11565,2,7,3,1,15,3.0
7885,2,7,5,1,11,5.0
11899,2,8,4,0,5,3.0
2016,2,8,5,0,14,5.0
7741,3,1,-2,0,1,2.0
12043,3,1,-2,0,1,4.0
4469,3,1,-2,0,7,2.0
10893,3,1,-2,0,23,4.0
7228,3,1,-2,0,24,1.0
9684,3,1,-2,1,2,1.0
3369,3,1,-2,1,7,2.0
3230,3,1,2,0,1,1.0
3443,3,1,2,0,5,1.0
10940,3,1,2,0,5,1.0
7207,3,1,2,0,5,2.0
11342,3,1,2,0,10,6.0
11861,3,1,2,0,12,0.0
6341,3,1,2,0,22,0.0
4273,3,1,2,1,9,3.0
11623,3,1,2,1,10,4.0
6475,3,1,3,0,5,7.0
4953,3,1,3,1,9,4.0
1929,3,1,4,0,1,0.0
5550,3,1,5,0,5,4.0
8518,3,1,5,0,6,3.0
8592,3,1,5,0,7,0.0
10088,3,1,5,0,7,2.0
6416,3,1,5,0,7,6.0
10096,3,1,5,0,10,2.0
5789,3,1,5,0,10,8.0
11009,3,1,5,0,11,5.0
576,3,1,5,0,13,4.0
9208,3,1,5,0,16,2.0
5823,3,1,5,0,24,1.0
5714,3,1,5,1,1,2.0
9154,3,1,5,1,5,2.0
4249,3,1,5,1,6,1.0
8295,3,1,5,1,7,3.0
8979,3,1,5,1,7,4.0
2251,3,1,5,1,8,4.0
1378,3,1,5,1,8,10.0
7721,3,1,5,1,9,1.0
4448,3,1,5,1,9,6.0
8139,3,1,5,1,9,9.0
10900,3,1,5,1,12,3.0
9490,3,1,5,1,17,4.0
8142,3,1,5,1,18,1.0
8181,3,1,5,1,18,8.0
4188,3,1,5,1,21,5.0
9683,3,1,6,0,5,1.0
2632,3,1,6,0,6,1.0
4300,3,1,6,0,7,3.0
10256,3,1,6,0,20,2.0
6195,3,1,6,0,23,1.0
4396,3,1,6,1,3,1.0
2904,3,1,6,1,4,5.0
9230,3,1,6,1,23,1.0
10365,3,1,6,1,23,1.0
6402,3,1,6,1,24,4.0
7274,3,2,-2,0,5,2.0
6658,3,2,-2,0,22,1.0
12015,3,2,-2,0,22,1.0
5018,3,2,-2,0,24,1.0
2141,3,2,-2,1,10,1.0
7380,3,2,2,0,5,1.0
7134,3,2,2,0,5,5.0
5611,3,2,2,0,7,3.0
9078,3,2,2,1,5,3.0
9793,3,2,2,1,6,1.0
2924,3,2,2,1,9,8.0
5694,3,2,2,1,12,5.0
10885,3,2,2,1,16,2.0
1977,3,2,3,0,4,1.0
2615,3,2,3,0,7,5.0
3544,3,2,3,1,5,1.0
9369,3,2,3,1,6,3.0
4032,3,2,3,1,9,6.0
1481,3,2,4,0,1,1.0
5641,3,2,5,0,6,1.0
91,3,2,5,0,7,1.0
1505,3,2,5,0,7,5.0
8286,3,2,5,0,8,2.0
304,3,2,5,0,8,3.0
7797,3,2,5,0,8,4.0
3012,3,2,5,0,9,2.0
8911,3,2,5,0,11,1.0
1553,3,2,5,0,11,2.0
3124,3,2,5,0,12,4.0
7952,3,2,5,0,12,6.0
10521,3,2,5,0,13,1.0
2658,3,2,5,0,13,3.0
202,3,2,5,0,20,8.0
5428,3,2,5,1,4,0.0
1768,3,2,5,1,5,1.0
3462,3,2,5,1,5,2.0
931,3,2,5,1,7,6.0
8534,3,2,5,1,8,0.0
10244,3,2,5,1,8,1.0
4660,3,2,5,1,8,3.0
10657,3,2,5,1,9,2.0
10729,3,2,5,1,9,3.0
4089,3,2,5,1,10,2.0
10184,3,2,5,1,10,5.0
6868,3,2,5,1,10,6.0
1846,3,2,5,1,11,3.0
258,3,2,5,1,13,2.0
9311,3,2,5,1,14,5.0
1861,3,2,5,1,15,3.0
7866,3,2,5,1,16,2.0
6452,3,2,5,1,18,5.0
4756,3,2,5,1,20,2.0
7246,3,2,6,0,4,2.0
8300,3,2,6,0,7,1.0
2462,3,2,6,1,8,2.0
9849,3,2,6,1,10,2.0
3680,3,2,6,1,12,3.0
10511,3,2,6,1,17,1.0
3859,3,2,8,0,7,3.0
2953,3,3,-2,0,4,0.0
3701,3,3,-2,0,5,2.0
7985,3,3,-2,0,8,2.0
7026,3,3,-2,0,10,0.0
602,3,3,-2,0,10,2.0
5406,3,3,-2,0,12,1.0
1410,3,3,-2,0,13,2.0
1868,3,3,-2,0,23,3.0
1644,3,3,-2,0,24,3.0
9725,3,3,-2,1,6,1.0
9353,3,3,-2,1,13,1.0
3819,3,3,1,0,7,4.0
3302,3,3,1,0,9,4.0
11065,3,3,1,0,11,4.0
9687,3,3,1,0,24,3.0
5372,3,3,2,1,8,6.0
2519,3,3,3,0,1,1.0
3817,3,3,3,0,4,2.0
1642,3,3,3,0,5,3.0
4594,3,3,3,0,6,1.0
8904,3,3,3,0,8,11.0
1175,3,3,3,1,5,2.0
3389,3,3,3,1,10,2.0
3361,3,3,3,1,12,10.0
4082,3,3,5,0,8,2.0
218,3,3,5,0,12,5.0
9175,3,3,5,0,14,1.0
2520,3,3,5,0,23,1.0
2663,3,3,5,1,1,2.0
7927,3,3,5,1,2,1.0
8597,3,3,5,1,5,1.0
7235,3,3,5,1,8,1.0
1916,3,3,5,1,9,1.0
8166,3,3,5,1,11,4.0
10453,3,3,5,1,15,4.0
4083,3,3,6,0,6,1.0
5748,3,3,6,0,10,1.0
4699,3,3,6,0,10,3.0
9478,3,3,6,0,16,1.0
7463,3,3,6,1,5,4.0
5323,3,3,6,1,7,3.0
7441,3,3,6,1,11,2.0
1814,3,3,8,0,3,3.0
9067,3,4,-2,0,3,2.0
1678,3,4,-2,0,5,1.0
7427,3,4,-2,0,6,0.0
3153,3,4,-2,0,6,2.0
2533,3,4,-2,0,6,4.0
4713,3,4,-2,0,8,4.0
7748,3,4,-2,0,11,2.0
246,3,4,-2,0,12,1.0
3767,3,4,-2,0,12,3.0
8539,3,4,-2,0,12,3.0
4191,3,4,-2,0,13,0.0
11578,3,4,-2,0,13,2.0
6207,3,4,-2,0,16,3.0
1491,3,4,-2,0,19,3.0
10824,3,4,-2,1,7,1.0
3848,3,4,-2,1,14,0.0
3740,3,4,-2,1,14,1.0
2599,3,4,-2,1,18,4.0
10813,3,4,1,0,7,4.0
5303,3,4,1,0,13,5.0
7080,3,4,2,0,6,5.0
5035,3,4,2,0,8,5.0
76,3,4,2,0,11,1.0
10886,3,4,2,0,12,5.0
535,3,4,2,0,23,6.0
5064,3,4,2,1,6,2.0
10864,3,4,3,0,3,3.0
3392,3,4,3,0,5,4.0
7053,3,4,3,0,6,1.0
999,3,4,3,0,7,1.0
480,3,4,3,0,7,3.0
491,3,4,3,0,7,3.0
4138,3,4,3,0,8,2.0
5183,3,4,3,0,8,3.0
8184,3,4,3,0,8,3.0
8525,3,4,3,0,8,7.0
9066,3,4,3,0,8,10.0
1398,3,4,3,0,9,3.0
8266,3,4,3,0,10,6.0
1343,3,4,3,0,11,4.0
7254,3,4,3,0,13,4.0
2805,3,4,3,0,14,2.0
1943,3,4,3,0,14,4.0
6365,3,4,3,0,17,4.0
7833,3,4,3,0,17,5.0
10386,3,4,3,1,1,2.0
9606,3,4,3,1,1,10.0
7841,3,4,3,1,2,2.0
9006,3,4,3,1,5,3.0
8527,3,4,3,1,5,8.0
9292,3,4,3,1,7,1.0
3788,3,4,3,1,8,2.0
3111,3,4,3,1,8,4.0
4194,3,4,3,1,8,6.0
6039,3,4,3,1,8,6.0
732,3,4,3,1,10,0.0
10247,3,4,3,1,10,7.0
5908,3,4,3,1,16,3.0
4871,3,4,5,0,1,3.0
1616,3,4,5,0,2,3.0
6669,3,4,5,0,2,3.0
4929,3,4,5,0,4,4.0
1482,3,4,5,0,8,4.0
6513,3,4,5,0,11,3.0
1293,3,4,5,0,12,6.0
7006,3,4,5,0,17,2.0
2363,3,4,5,0,17,4.0
2135,3,4,5,1,5,2.0
11792,3,4,5,1,7,3.0
4869,3,4,5,1,8,5.0
3743,3,4,5,1,10,2.0
7131,3,4,5,1,10,5.0
5738,3,4,5,1,11,4.0
4558,3,4,5,1,12,3.0
2952,3,4,5,1,16,3.0
11049,3,4,5,1,18,0.0
4831,3,4,6,0,5,2.0
2435,3,4,6,0,6,4.0
7491,3,4,6,0,23,2.0
316,3,4,6,1,6,5.0
11214,3,4,6,1,16,1.0
9458,3,4,6,1,16,3.0
6486,3,4,6,1,16,4.0
3007,3,4,6,1,22,7.0
8789,3,4,8,0,5,4.0
2281,3,4,8,0,6,3.0
714,3,4,8,0,8,3.0
9963,3,4,8,0,16,7.0
