,TOTSQFT_C,YEARMADERANGE,ROOFTYPE,TREESHAD,MONEYPY,KWH_C
7317,0,1,-2,0,8,0.0
4295,0,1,-2,0,13,0.0
11672,0,1,-2,0,13,0.0
7228,0,1,-2,0,24,0.0
4215,0,1,-2,1,15,0.0
10238,0,1,-2,1,15,0.0
6991,0,1,-2,1,24,0.0
11406,0,1,3,0,6,0.0
7436,0,1,5,0,1,1.0
8864,0,1,5,0,1,1.0
11592,0,1,5,0,7,0.0
9681,0,1,5,0,8,1.0
8282,0,1,5,1,5,0.0
2476,0,1,5,1,5,3.0
2251,0,1,5,1,8,1.0
10204,0,1,5,1,9,1.0
10000,0,1,5,1,12,0.0
9540,0,1,6,0,7,0.0
6576,0,1,6,1,7,0.0
9564,0,1,6,1,7,0.0
5587,0,1,8,0,15,0.0
6566,0,2,-2,0,8,0.0
10644,0,2,-2,0,12,1.0
12005,0,2,-2,0,21,0.0
6658,0,2,-2,0,22,0.0
5611,0,2,2,0,7,1.0
9793,0,2,2,1,6,0.0
8170,0,2,2,1,6,2.0
7291,0,2,3,0,5,1.0
4220,0,2,3,0,8,0.0
4894,0,2,3,1,6,0.0
1042,0,2,5,0,1,0.0
11709,0,2,5,0,4,0.0
91,0,2,5,0,7,0.0
7797,0,2,5,0,8,1.0
5428,0,2,5,1,4,0.0
3462,0,2,5,1,5,1.0
10398,0,2,5,1,6,0.0
9897,0,2,5,1,11,1.0
2222,0,2,5,1,13,1.0
6452,0,2,5,1,18,2.0
9301,0,2,5,1,24,0.0
3330,0,2,6,0,5,1.0
8228,0,2,6,1,4,0.0
3825,0,2,6,1,10,1.0
11093,0,3,-2,0,3,0.0
4281,0,3,-2,0,5,0.0
11798,0,3,-2,0,9,0.0
1738,0,3,-2,1,5,0.0
9687,0,3,1,0,24,1.0
11584,0,3,1,1,10,0.0
6302,0,3,2,0,6,0.0
10341,0,3,2,1,4,0.0
2519,0,3,3,0,1,0.0
10842,0,3,3,0,1,0.0
4995,0,3,3,0,2,0.0
2583,0,3,3,0,4,1.0
138,0,3,3,0,5,0.0
2221,0,3,3,0,5,0.0
6951,0,3,3,0,5,2.0
4564,0,3,3,1,2,1.0
5558,0,3,3,1,5,0.0
10899,0,3,3,1,5,1.0
2911,0,3,3,1,6,0.0
1997,0,3,3,1,6,2.0
7927,0,3,5,1,2,0.0
1103,0,3,5,1,8,0.0
7235,0,3,5,1,8,0.0
7267,0,3,5,1,9,1.0
11127,0,3,5,1,10,4.0
11586,0,3,6,0,8,0.0
9478,0,3,6,0,16,0.0
6828,0,3,6,1,6,1.0
10050,0,3,6,1,6,1.0
10993,0,3,8,0,7,1.0
3153,0,4,-2,0,6,0.0
11790,0,4,-2,0,6,0.0
10517,0,4,-2,0,10,0.0
5029,0,4,-2,0,10,1.0
4191,0,4,-2,0,13,0.0
9524,0,4,-2,0,13,1.0
2448,0,4,-2,0,18,0.0
657,0,4,-2,1,8,0.0
8171,0,4,-2,1,8,0.0
